IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
096110843,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,10/31/2009,23:00,TENDERLOIN,NONE,ELLIS ST / POWELL ST,-122.407854234538,37.7854922044602,"(37.7854922044602, -122.407854234538)",9611084306374
091163790,"SEX OFFENSES, FORCIBLE","FORCIBLE RAPE, BODILY FORCE",Saturday,10/31/2009,23:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",9116379002004
091123835,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,10/31/2009,22:57,TENDERLOIN,UNFOUNDED,LARKIN ST / GOLDEN GATE AV,-122.417146843836,37.781446350134,"(37.781446350134, -122.417146843836)",9112383504013
091123835,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Saturday,10/31/2009,22:57,TENDERLOIN,UNFOUNDED,LARKIN ST / GOLDEN GATE AV,-122.417146843836,37.781446350134,"(37.781446350134, -122.417146843836)",9112383503014
091124037,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Saturday,10/31/2009,22:49,BAYVIEW,NONE,1000 Block of PALOU AV,-122.380818341183,37.7281870279805,"(37.7281870279805, -122.380818341183)",9112403715150
091123807,NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Saturday,10/31/2009,22:45,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",9112380773000
091123829,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,10/31/2009,22:43,CENTRAL,"ARREST, CITED",600 Block of BROADWAY ST,-122.40784335615,37.7977773593589,"(37.7977773593589, -122.40784335615)",9112382965016
091123891,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Saturday,10/31/2009,22:40,MISSION,"ARREST, BOOKED",3300 Block of 19TH ST,-122.417577215102,37.7603888134229,"(37.7603888134229, -122.417577215102)",9112389116660
091123891,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Saturday,10/31/2009,22:40,MISSION,"ARREST, BOOKED",3300 Block of 19TH ST,-122.417577215102,37.7603888134229,"(37.7603888134229, -122.417577215102)",9112389165050
091123891,FRAUD,IMPERSONATING A POLICE OFFICER,Saturday,10/31/2009,22:40,MISSION,"ARREST, BOOKED",3300 Block of 19TH ST,-122.417577215102,37.7603888134229,"(37.7603888134229, -122.417577215102)",9112389127070
091123750,DRUG/NARCOTIC,POSSESSION OF HEROIN,Saturday,10/31/2009,22:30,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 7TH ST,-122.406300138733,37.7755131129937,"(37.7755131129937, -122.406300138733)",9112375016100
091123948,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,10/31/2009,22:30,CENTRAL,"ARREST, BOOKED",200 Block of BAY ST,-122.41113552527,37.8058701106587,"(37.8058701106587, -122.41113552527)",9112394815200
091125671,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,10/31/2009,22:30,TARAVAL,NONE,2100 Block of 36TH AV,-122.494161694558,37.7468933276719,"(37.7468933276719, -122.494161694558)",9112567128160
091130062,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Saturday,10/31/2009,22:30,RICHMOND,NONE,700 Block of 14TH AV,-122.472433685031,37.774025728225,"(37.774025728225, -122.472433685031)",9113006206224
091123948,ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,10/31/2009,22:30,CENTRAL,"ARREST, BOOKED",200 Block of BAY ST,-122.41113552527,37.8058701106587,"(37.8058701106587, -122.41113552527)",9112394815040
091123998,ASSAULT,THREATS AGAINST LIFE,Saturday,10/31/2009,22:30,RICHMOND,"ARREST, BOOKED",BALBOA ST / 5TH AV,-122.462943389175,37.7772810373762,"(37.7772810373762, -122.462943389175)",9112399819057
091123750,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,10/31/2009,22:30,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 7TH ST,-122.406300138733,37.7755131129937,"(37.7755131129937, -122.406300138733)",9112375019090
091126641,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Saturday,10/31/2009,22:30,NORTHERN,NONE,3600 Block of BRODERICK ST,-122.445298264751,37.8039768539023,"(37.8039768539023, -122.445298264751)",9112664105073
091125182,MISSING PERSON,MISSING JUVENILE,Saturday,10/31/2009,22:15,BAYVIEW,LOCATED,1500 Block of NEWCOMB AV,-122.388817917114,37.7347525080793,"(37.7347525080793, -122.388817917114)",9112518274010
096113518,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,10/31/2009,22:15,MISSION,NONE,VALENCIA ST / 16TH ST,-122.421886357981,37.7649178909424,"(37.7649178909424, -122.421886357981)",9611351828150
091123766,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Saturday,10/31/2009,22:11,TENDERLOIN,JUVENILE CITED,0 Block of TURK ST,-122.409849441655,37.7832755202567,"(37.7832755202567, -122.409849441655)",9112376616010
091126340,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Saturday,10/31/2009,22:00,BAYVIEW,NONE,200 Block of PENINSULA AV,-122.398742137257,37.7122722624046,"(37.7122722624046, -122.398742137257)",9112634061040
096108729,NON-CRIMINAL,LOST PROPERTY,Saturday,10/31/2009,22:00,CENTRAL,NONE,600 Block of SUTTER ST,-122.411090752992,37.7889641756063,"(37.7889641756063, -122.411090752992)",9610872971000
091129225,BURGLARY,"BURGLARY OF STORE, ATTEMPTED FORCIBLE ENTRY",Saturday,10/31/2009,22:00,INGLESIDE,NONE,700 Block of SILVER AV,-122.419997432654,37.7289329748541,"(37.7289329748541, -122.419997432654)",9112922505052
096116891,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,10/31/2009,22:00,PARK,NONE,FULTON ST / SCOTT ST,-122.436507619977,37.7770672269836,"(37.7770672269836, -122.436507619977)",9611689106372
091126782,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,10/31/2009,22:00,RICHMOND,NONE,100 Block of 15TH AV,-122.474243780524,37.7852895219514,"(37.7852895219514, -122.474243780524)",9112678228150
096108785,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,10/31/2009,22:00,TARAVAL,NONE,1500 Block of 46TH AV,-122.505660828242,37.7576114624913,"(37.7576114624913, -122.505660828242)",9610878506374
096110677,NON-CRIMINAL,LOST PROPERTY,Saturday,10/31/2009,22:00,SOUTHERN,NONE,300 Block of 11TH ST,-122.413287527194,37.7711962032376,"(37.7711962032376, -122.413287527194)",9611067771000
091129429,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Saturday,10/31/2009,22:00,CENTRAL,NONE,HYDE ST / BUSH ST,-122.417019320691,37.7891095538736,"(37.7891095538736, -122.417019320691)",9112942903014
096108804,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,10/31/2009,22:00,SOUTHERN,NONE,2ND ST / FOLSOM ST,-122.396707150502,37.7855429503041,"(37.7855429503041, -122.396707150502)",9610880406244
091137444,NON-CRIMINAL,LOST PROPERTY,Saturday,10/31/2009,22:00,MISSION,NONE,16TH ST / MISSION ST,-122.419671780296,37.7650501214668,"(37.7650501214668, -122.419671780296)",9113744471000
091131377,NON-CRIMINAL,FOUND PROPERTY,Saturday,10/31/2009,22:00,SOUTHERN,NONE,10TH ST / HARRISON ST,-122.411279189969,37.7715785765043,"(37.7715785765043, -122.411279189969)",9113137772000
091125938,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,10/31/2009,22:00,NORTHERN,PSYCHOPATHIC CASE,2700 Block of FRANKLIN ST,-122.425977542452,37.7997412033067,"(37.7997412033067, -122.425977542452)",9112593864020
096110304,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,10/31/2009,22:00,TENDERLOIN,NONE,100 Block of EDDY ST,-122.410135236377,37.7841889075267,"(37.7841889075267, -122.410135236377)",9611030406374
091123788,WARRANTS,WARRANT ARREST,Saturday,10/31/2009,21:50,TARAVAL,"ARREST, BOOKED",100 Block of TARAVAL ST,-122.467327944741,37.7435048651713,"(37.7435048651713, -122.467327944741)",9112378863010
091123788,TRESPASS,TRESPASSING,Saturday,10/31/2009,21:50,TARAVAL,"ARREST, BOOKED",100 Block of TARAVAL ST,-122.467327944741,37.7435048651713,"(37.7435048651713, -122.467327944741)",9112378827195
091123744,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,10/31/2009,21:45,TENDERLOIN,NONE,100 Block of EDDY ST,-122.410157073911,37.7842973843312,"(37.7842973843312, -122.410157073911)",9112374468020
091123562,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Saturday,10/31/2009,21:40,NORTHERN,"ARREST, BOOKED",700 Block of EDDY ST,-122.420025955939,37.7830500140737,"(37.7830500140737, -122.420025955939)",9112356216623
091123647,ASSAULT,BATTERY,Saturday,10/31/2009,21:34,BAYVIEW,NONE,KANSAS ST / 25TH ST,-122.402315844375,37.7519622803065,"(37.7519622803065, -122.402315844375)",9112364704134
