id,name,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,statuses_count,utc_offset,time_zone,verified,geo_enabled,lang,profile_image_url,profile_background_image_url,profile_background_color,profile_link_color
240385577,Rep. Mick Mulvaney,RepMickMulvaney,South Carolina's 5th District,"",http://t.co/dKqxSxCsLK,9451,6158,596,2011-01-19 20:18:39,4,1180,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/378800000832890494/b7cbc8f4c95ca46f206bfdbc63362a39_normal.jpeg,http://pbs.twimg.com/profile_background_images/838479395/dde7e49e1a940883542889cfe98a6a81.jpeg,131516,AD030C
2914571740,Mike Bishop,RepMikeBishop,"Rochester, MI",Official account for Congressman Mike Bishop #MI08. Serving on @HouseJudiciary and @EdWorkforce Committees.,http://t.co/cJYobAueyX,1544,330,86,2014-12-10 22:19:34,76,383,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/624277709573750784/YjA5LZXV_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,000000,3B94D9
19407835,Rep. Mike Coffman,RepMikeCoffman,"Aurora, CO or Washington D.C.",Member of Congress representing Colorado's 6th District; Marine Corps combat veteran; 30 Rock fan. RTs/follows do not mean endorsement.,http://t.co/WxboE0uIfV,14691,1311,1216,2009-01-23 19:04:01,0,1751,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/1130356951/NTLC_award_9-23-2010_normal.JPG,http://pbs.twimg.com/profile_background_images/87381593/twitter_bg.jpg,9AE4E8,166885
16583468,Rep. Mike Honda,RepMikeHonda,"Santa Clara, CA",Congressman Mike Honda for CA17-Silicon Valley. Lover of languages and cultures. Native Californian. South Bay is home. #ProudJichan,http://t.co/YR4AVQxZ9J,18457,882,1283,2008-10-03 20:18:31,655,1827,-25200,Pacific Time (US & Canada),true,true,en,http://pbs.twimg.com/profile_images/619250888855564288/BjYEMoD0_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,000000,57A4CD
244268646,Mike Pompeo,RepMikePompeo,"",U.S. Congressman representing KS-04. West Point. General Aviation. Manufacturing. Energy. Free markets. My staff helps me on Twitter. RTs aren't endorsements.,http://t.co/HjFeeD3BBe,7956,1344,588,2011-01-28 22:54:50,17,2323,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/458990759580930048/aBMT3Gl-_normal.jpeg,http://pbs.twimg.com/profile_background_images/270638612/YouTube_SideBar.jpg,131516,009999
56864092,Mike Quigley,RepMikeQuigley,"Chicago, IL; Washington, DC","#IL05 Congressman, House Appropriator, amateur hockey player & hopeful Cubs fan http://t.co/zL9fkzy188  http://t.co/FMe57EKfsC",http://t.co/wINsdAOzI8,11158,1894,966,2009-07-15 00:10:43,193,5204,-18000,Central Time (US & Canada),true,true,en,http://pbs.twimg.com/profile_images/618504282862530560/jgDzBwmu_normal.jpg,http://pbs.twimg.com/profile_background_images/23313310/capitol_dome_2.jpg,9AE4E8,0084B4
33977070,Mike Rogers,RepMikeRogersAL,"Washington, D.C./Anniston, AL",I am proud to represent Alabama's Third Congressional District.,http://t.co/xtRIwQK2MV,11917,2822,936,2009-04-21 17:43:28,0,2341,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/456844301062766592/Yh_5GePq_normal.jpeg,http://abs.twimg.com/images/themes/theme14/bg.gif,131516,009999
51228911,US Rep. Mike Turner,RepMikeTurner,"Washington, DC and Dayton, OH","I proudly represent the Tenth District of Ohio. Montgomery County, Greene County and Fayette County. #OH10",http://t.co/hhH39SKxLO,6787,1176,539,2009-06-26 21:15:07,46,1732,-14400,Eastern Time (US & Canada),true,true,en,http://pbs.twimg.com/profile_images/445952873818374144/TZbgdNZ5_normal.jpeg,http://pbs.twimg.com/profile_background_images/446028330823712768/4Z3vM-0i.jpeg,FAFAFA,1D63F0
47798449,Mimi Walters,RepMimiWalters,"Irvine, CA","Wife, mother of 4 awesome children, and in my spare time - Congresswoman to #CA45.",http://t.co/WOZuxf3k21,3757,1025,231,2009-06-17 00:59:59,327,1843,-25200,Pacific Time (US & Canada),true,true,en,http://pbs.twimg.com/profile_images/568467816089546752/n3BHuNVi_normal.jpeg,http://pbs.twimg.com/profile_background_images/779665432/53eec9a6ff66dad5d85aba3e591c82e5.jpeg,2131E8,5565B5
237299871,Mo Brooks,RepMoBrooks,Alabama,Thanks for following me. I'm the Congressman for Alabama's Fifth District and this is my official Twitter page. It's an honor to serve you.,http://t.co/XErdLh9N6C,8759,1953,708,2011-01-12 14:46:14,49,749,-14400,Eastern Time (US & Canada),true,false,en,http://pbs.twimg.com/profile_images/3253062018/1745ec9085ff4db219c69bd7ffb2e7fc_normal.jpeg,http://pbs.twimg.com/profile_background_images/218378783/pic1_photoshopped_rocket.jpg,C0DEED,27BAF0
