Title,Artist,ArtistBio,Date,Medium,Dimensions,CreditLine,MoMANumber,Classification,Department,DateAcquired,CuratorApproved,ObjectID,URL
"Ferdinandsbrücke Project, Vienna, Austria , Elevation, preliminary version",Otto Wagner,"(Austrian, 1841–1918)",1896,Ink and cut-and-pasted painted pages on paper,"19 1/8 x 66 1/2"" (48.6 x 168.9 cm)",Fractional and promised gift of Jo Carole and Ronald S. Lauder,885.1996,A&D Architectural Drawing,Architecture & Design,1996-04-09,Y,2,http://www.moma.org/collection/works/2
"Jewish Museum Project, Judenplatz, Vienna, Austria  Project, Exterior perspective",Raimund Abraham,"(American, born Austria. 1933–2010)",1992,Photocopy-transfer and acrylic,"24 x 31 1/2"" (61 x 80 cm) (sight)",Gift of the architect in honor of Philip Johnson,343.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,335,http://www.moma.org/collection/works/335
"Worldbridge Trade and Investment Center, project, Baltimore, Maryland, Section, Site plan",Emilio Ambasz,"(Argentine, born 1943)",1992,"Airbrush, watercolor and color pencil","24 x 31"" (61 x 78.7 cm)",Gift of the architect in honor of Philip Johnson,344.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,336,
"Worldbridge Trade and Investment Center, project, Baltimore, Maryland, Site plan",Emilio Ambasz,"(Argentine, born 1943)",1992,"Airbrush, watercolor, and color pencil on paper","24 x 31"" (61 x 78.7 cm)",Gift of the architect in honor of Philip Johnson,345.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,337,http://www.moma.org/collection/works/337
"Church of the Light, Ibaraki, Osaka, Japan, Interior perspective",Tadao Ando,"(Japanese, born 1941)",1989,Color pencil (orange) on note paper,"10 1/8 x 7 1/8"" (25.7 x 18.1 cm)",Gift of the architect in honor of Philip Johnson,346.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,338,
"Church of the Light, Ibaraki, Osaka, Japan, Interior perspective",Tadao Ando,"(Japanese, born 1941)",1989,Color pencil (blue and black) on note paper,"10 1/8 x 7 1/8"" (25.7 x 18.1 cm)",Gift of the architect in honor of Philip Johnson,347.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,339,http://www.moma.org/collection/works/339
"Church of the Light, Ibaraki, Osaka, Japan, Plan",Tadao Ando,"(Japanese, born 1941)",1989,Graphite on Japanese paper,"16 3/8 x 24"" (41.6 x 61 cm) (approx.)",Gift of the architect in honor of Philip Johnson,348.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,340,http://www.moma.org/collection/works/340
"Church of the Light, Ibaraki, Osaka, Japan, Plan",Tadao Ando,"(Japanese, born 1941)",1989,Lithograph with color pencil,"40 1/2 x 28 5/8"" (102.9 x 72.7 cm)",Gift of the architect in honor of Philip Johnson,349.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,341,http://www.moma.org/collection/works/341
"Church of the Light, Ibaraki, Osaka, Japan, Plan",Tadao Ando,"(Japanese, born 1941)",1989,Graphite on rice paper,"12 3/8 x 10 7/8"" (31.4 x 27.6 cm)",Gift of the architect in honor of Philip Johnson,350.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,343,
"Motorway Service Station Project, Exterior perspective",Mario Bellini,"(Italian, born 1935)",1989.,Computer-generated laser print,"8 1/2 x 15 1/4"" (21.6 x 38.7 cm)",Gift of the architect in honor of Philip Johnson,351.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,345,http://www.moma.org/collection/works/345
"Motorway Service Station, project, Preliminary plan",Mario Bellini,"(Italian, born 1935)",1991,Graphite on paper,"14 x 18"" (35.6 x 45.7 cm)",Gift of the architect in honor of Philip Johnson,352.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,353,
"San Francisco Museum of Modern Art, San Francisco, California, Exterior perspective",Mario Botta,"(Swiss, born 1943)",1996,China marker on paper,"16 1/2 x 23 1/2"" (41.9 x 59.7 cm)",Gift of the architect to Philip Johnson,353.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,355,
"Alamillo Bridge and Cartuga Viaduct, Seville, Spain, Elevations",Santiago Calatrava,"(Spanish, born 1951)",1988,Conté crayon on tracing paper,"17 x 53 1/2"" (43.2 x 135.9 cm)",Gift of the architect,354.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,357,http://www.moma.org/collection/works/357
"Lyons Airport Railroad Station, Lyons-Satolas, France, Plan and elevation",Santiago Calatrava,"(Spanish, born 1951)",1992,Color and graphite on tracing paper,"28 1/2 x 36"" (72.4 x 91.4 cm)",Gift of the architect,355.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,359,http://www.moma.org/collection/works/359
"Hong Kong and Shanghai Bank, Hong Kong, China, Axonometric and elevation",Norman Foster,"(British, born 1935)",1985,Ink and color ink on tracing paper,"16 1/2 x 11 11/16"" (41.9 x 29.7 cm)",Gift of the architect in honor of Philip Johnson,356.1996.1,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,360,
"Hong Kong and Shanghai Bank, Hong Kong, China , .1 Axonometric and elevation, .2 Elevation and exterior perspective",Norman Foster,"(British, born 1935)",1985,Ink and color ink on tracing paper,".1: 16 1/2 x 11 5/8"" (41.9 x 29.5 cm).2: 16 1/2 x 11 5/8"" (41.9 x 29.5 cm)",Gift of the architect in honor of Philip Johnson,356.1996.1-2,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,361,http://www.moma.org/collection/works/361
"Hong Kong and Shanghai Bank , Hong Kong, China , Elevation and exterior perspective",Norman Foster,"(British, born 1935)",1985,Ink and color ink on tracing paper,"16 1/2 x 11 11/16"" (41.9 x 29.7 cm)",Gift of the architect in honor of Philip Johnson,356.1996.2,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,362,
"Parc de la Villette Project, Paris, France, Plot breakdown",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Colored pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.1,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,363,http://www.moma.org/collection/works/363
"Parc de la Villette, project , Paris, France",Zaha Hadid,"(British, born Iraq 1950)",1982-83,See individual records.,Each: 16 1/2 x 11 3/4,Gift of the architect in honor of Philip Johnson,357.1996.1-20,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,364,
"Parc de la Villette Project, Paris, France, Scientific",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Graphite on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.10,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,365,http://www.moma.org/collection/works/365
"Parc de la Villette Project, Paris, France, Cultural",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Colored pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.11,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,366,http://www.moma.org/collection/works/366
"Parc de la Villette Project, Paris, France, Plan",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Ten photoelectrostatic prints on polymer sheets between synthetic polymer sheets with metal screws and supports,"(Each): 11 3/4 x 16 3/4"" (29.8 x 42.5 cm)",Gift of the architect in honor of Philip Johnson,357.1996.12.a-j,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,367,http://www.moma.org/collection/works/367
"Parc de la Villette Project, Paris, France, Composite (divisions of plot)",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Ink on tracing paper,"16 1/2 x 11 3/4"" (41.9 x 29.8 cm)",Gift of the architect in honor of Philip Johnson,357.1996.13,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,368,http://www.moma.org/collection/works/368
"Parc de la Villette Project, Paris, France, Jogging Track and Green Strip",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Ink on tracing paper,"16 1/2 x 11 3/4"" (41.9 x 29.8 cm)",Gift of the architect in honor of Philip Johnson,357.1996.14,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,369,http://www.moma.org/collection/works/369
"Parc de la Villette Project, Paris, France, Base Plan (as Existing) and Moving Elements",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Ink on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.15.a-b,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,370,http://www.moma.org/collection/works/370
"Parc de la Villette Project, Paris, France, Water Strip",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Ink on tracing paper,"16 1/2 x 11 3/4"" (41.9 x 29.8 cm)",Gift of the architect in honor of Philip Johnson,357.1996.16,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,372,http://www.moma.org/collection/works/372
"Parc de la Villette Project, Paris, France, Greenhouse Strip",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Ink on tracing paper,"16 1/2 x 11 3/4"" (41.9 x 29.8 cm)",Gift of the architect in honor of Philip Johnson,357.1996.17,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,373,http://www.moma.org/collection/works/373
"Parc de la Villette Project, Paris, France, Exercise Strip",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Ink on tracing paper,"16 1/2 x 11 3/4"" (41.9 x 29.8 cm)",Gift of the architect in honor of Philip Johnson,357.1996.18,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,374,http://www.moma.org/collection/works/374
"Parc de la Villette Project, Paris, France, Discovery Strip",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Ink on tracing paper,"16 1/2 x 11 3/4"" (41.9 x 29.8 cm)",Gift of the architect in honor of Philip Johnson,357.1996.19,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,375,http://www.moma.org/collection/works/375
"Parc de la Villette Project, Paris, France , Car Park",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Colored pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.2,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,376,http://www.moma.org/collection/works/376
"Parc de la Villette Project, Paris, France, Planetary Strip",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Ink on tracing paper,"16 1/2 x 11 3/4"" (41.9 x 29.8 cm)",Gift of the architect in honor of Philip Johnson,357.1996.20,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,377,http://www.moma.org/collection/works/377
"Parc de la Villette Project, Paris, France, Fields",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Colored pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.3,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,378,http://www.moma.org/collection/works/378
"Parc de la Villette Project, Paris, France, Green Strip",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Colored pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.4,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,379,http://www.moma.org/collection/works/379
"Parc de la Villette Project, Paris, France, Discovery",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Colored pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.5,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,380,http://www.moma.org/collection/works/380
"Parc de la Villette Project, Paris, France, Water Strip",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Color pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.6,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,381,http://www.moma.org/collection/works/381
"Parc de la Villette Project, Paris, France, Planetary/Water Strip",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Colored pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.7,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,382,http://www.moma.org/collection/works/382
"Parc de la Villette Project, Paris, France, Planetary/Water Strip",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Colored pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.8,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,383,http://www.moma.org/collection/works/383
"Parc de la Villette Project, Paris, France, Jogging Track",Zaha Hadid,"(British, born Iraq 1950)",1982-83,Color pencil on tracing paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Gift of the architect in honor of Philip Johnson,357.1996.9,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,384,http://www.moma.org/collection/works/384
"Re-ruined Hiroshima, Hiroshima, Japan, Perspective",Arata Isozaki,"(Japanese, born 1931)",1990,Silkscreen,"34 3/4 x 117"" (88.3 x 297.2 cm)",Gift of the architect in honor of Philip Johnson,359.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,387,
"Exodus, or the Voluntary Prisoners of Architecture , Prologue, project","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,Gelatin silver photographs on board,"16 1/4 x 11 1/2"" (41.3 x 29.2 cm)","Patricia Phelps de Cisneros Purchase Fund, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",360.1996,A&D Architectural Drawing,Architecture & Design,1996-02-25,Y,390,http://www.moma.org/collection/works/390
"Exodus, or the Voluntary Prisoners of Architecture, Exhausted Fugitives Led to Reception, project","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,"Cut-and-pasted gelatin silver photographs and photolihtographs with ink, crayon, and felt-tipped pen on paper","16 x 11 1/2"" (40.6 x 29.2 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",361.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,392,http://www.moma.org/collection/works/392
"Exodus, or the Voluntary Prisoners of Architecture, The Reception Area, project","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,Gelatin silver photograph with color ink,"10 1/2 x 14 1/2"" (26.7 x 36.8 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",364.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,401,http://www.moma.org/collection/works/401
"Exodus, or the Voluntary Prisoners of Architecture, The Central Area, project","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,Graphite and watercolor on paper,"16 3/8 x 11 1/4"" (41.6 x 28.6 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",365.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,404,http://www.moma.org/collection/works/404
"Exodus, or the Voluntary Prisoners of Architecture, Training the New Arrivals, project , Axonometric projection","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,Cut-and-pasted photolithographs and gelatin photograph on paper,"10 5/8 x 14 1/2"" (27 x 36.8 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",366.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,406,http://www.moma.org/collection/works/406
"Exodus, or the Voluntary Prisoners of Architecture, The Tip of the Strip, project","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,Graphite and watercolor on paper,"11 3/8 x 16 1/2"" (28.9 x 41.9 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",367.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,408,http://www.moma.org/collection/works/408
"Exodus, or the Voluntary Prisoners of Architecture , The Baths, project, Axonometric projection","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,Graphite and watercolor on paper,"11 1/2 x 16 3/8"" (29.2 x 41.6 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",368.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,410,http://www.moma.org/collection/works/410
"Exodus, or the Voluntary Prisoners of Architecture , The Baths, project","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,"Cut-and-pasted paper, photolithograph, and gelatin silver photographs with ink on paper","16 1/8 x 11 1/2"" (41 x 29.2 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",369.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,413,http://www.moma.org/collection/works/413
"Exodus, or the Voluntary Prisoners of Architecture, The Square of the Muses, project","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,"Graphite, watercolor, and gouache on paper","11 1/2 x 16 3/8"" (29.2 x 41.6 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",370.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,416,http://www.moma.org/collection/works/416
"Exodus, or the Voluntary Prisoners of Architecture, The Institute of Biological Transactions, project , Plan oblique","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,Graphite and watercolor on paper,"11 3/8 x 16 1/2"" (28.9 x 41.9 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",371.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,419,http://www.moma.org/collection/works/419
"Exodus, or the Voluntary Prisoners of Architecture , The Park of Aggression, project","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,Graphite and watercolor on paper,"16 1/2 x 11 3/8"" (41.9 x 28.9 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",372.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,423,http://www.moma.org/collection/works/423
"Exodus, or the Voluntary Prisoners of Architecture , The Central Area, project , Plan","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,Graphite and watercolor on paper,"11 1/2 x 16 3/8"" (29.2 x 41.6 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",373.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,427,http://www.moma.org/collection/works/427
"Exodus, or the Voluntary Prisoners of Architecture, The Allotments, project","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,"Cut-and-pasted paper, marbleized paper, and photolithographs with ink and watercolor on paper","11 1/2 x 16 1/2"" (29.2 x 41.9 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",374.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,431,http://www.moma.org/collection/works/431
"Exodus, or the Voluntary Prisoners of Architecture , The Allotments, project","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,Cut-and-pasted photolithographs on paper,"11 1/2 x 15 3/4"" (29.2 x 40 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",375.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,435,http://www.moma.org/collection/works/435
"Exodus, or the Voluntary Prisoners of Architecture, The Avowal, project","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,Cut-and-pasted photolithographs and gelatin silver photographs with ink and watercolor on paper,"11 3/8 x 16"" (28.9 x 40.6 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",376.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,438,http://www.moma.org/collection/works/438
"Exodus, or the Voluntary Prisoners of Architecture , The Allotments, project","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",1972,Graphite and watercolor on paper,"11 3/8 x 16 3/8"" (28.9 x 41.6 cm)","Gift of Patricia Phelps de Cisneros, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",377.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,441,http://www.moma.org/collection/works/441
"Building over Motorway Project, London, England, Perspectives",Leon Krier,"(Luxembourgish, born 1946)",1969,Ink on paper,"19 x 15 5/8"" (48.3 x 39.7 cm) (frame)",Gift of the architect in honor of Philip Johnson,378.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,445,http://www.moma.org/collection/works/445
"House for Venice Biennale, project , Venice, Italy, Title board: aerial view of model",Cesar Pelli,"(American, born Argentina 1926)",1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,379.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,449,
"House for Venice Biennale, project, Venice, Italy, Axonometric",Cesar Pelli,"(American, born Argentina 1926)",1976,Watercolor and ink on paper,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,380.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,453,http://www.moma.org/collection/works/453
"House for Venice Biennale, project , Venice, Italy, Written analysis of project",Cesar Pelli,"(American, born Argentina 1926)",1976,Photostat on board,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,381.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,457,
"House for Venice Biennale, project, Venice, Italy, Plans",Cesar Pelli,"(American, born Argentina 1926)",1976,Color pencil and photostat on board,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,382.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,461,http://www.moma.org/collection/works/461
"House for Venice Biennale, project, Venice, Italy, Aerial views",Cesar Pelli,"(American, born Argentina 1926)",1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,383.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,465,
"House for Venice Biennale, project , Venice, Italy, View of Model: multiple exterior views of project",Cesar Pelli,"(American, born Argentina 1926)",1976,Photomontage with color pencil on board,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,384.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,469,
"House for Venice Biennale, project , Venice, Italy, Multiple Views",Cesar Pelli,"(American, born Argentina 1926)",1976,Photomontage with color pencil on board,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,385.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,473,
"House for Venice Biennale, project , Venice, Italy, Aerial view",Cesar Pelli,"(American, born Argentina 1926)",1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,386.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,477,
"House for Venice Biennale, project , Venice, Italy, Aerial view",Cesar Pelli,"(American, born Argentina 1926)",1976,Watercolor,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,387.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,483,
"House for Venice Biennale, project, Venice, Italy, Aerial view",Cesar Pelli,"(American, born Argentina 1926)",1976,Watercolor and ink on paper,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,388.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,487,http://www.moma.org/collection/works/487
"House for Venice Biennale, project , Venice, Italy, Analysis of project",Cesar Pelli,"(American, born Argentina 1926)",1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,389.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,491,
"House for Venice Biennale, project, Venice, Italy, Analysis of project",Cesar Pelli,"(American, born Argentina 1926)",1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,390.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,496,
"House for Venice Biennale, project , Venice, Italy, Collaborators on project",Cesar Pelli,"(American, born Argentina 1926)",1976,Photomontage,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,391.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,501,
"House for Venice Biennale, project, Venice, Italy, Aerial view of model",Cesar Pelli,"(American, born Argentina 1926)",1976,Photograph on board,"40 x 40"" (101.6 x 101.6 cm)",Gift of the architect in honor of Philip Johnson,392.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,N,506,
"Beach Road II Office Tower Project, Singapore, Exterior perspective",Paul Rudolph,"(American, 1918–1997)",1981,Ink and graphite on tracing paper,"79 1/2 x 39 1/2"" (201.9 x 100.3 cm)",Gift of the architect in honor of Philip Johnson,393.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,511,http://www.moma.org/collection/works/511
"Feature Animation Building, The Walt Disney Company, Burbank, California, South elevation, preliminary study",Robert A. M. Stern,"(American, born 1939)",1992,Color pencil on paper,"9 3/4 x 38 7/8"" (24.8 x 98.7 cm)",Gift of the architect in honor of Philip Johnson,394.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,517,http://www.moma.org/collection/works/517
"Seville World Fair, Oman Pavilion, project , Seville, Spain , Axonometric","James Wines, Alison Sky, Michelle Stone, Emilio Sousa","(American, born 1932) (American) (American, born 1944) (American, born 1944)",1989,Watercolor on paper,"17 x 22"" (43.2 x 55.9 cm)",Gift of the architect in honor of Philip Johnson,395.1996,A&D Architectural Drawing,Architecture & Design,1996-09-25,Y,523,http://www.moma.org/collection/works/523
