bioguide_id,twitter_id,twitter_username,facebook_id,facebook_username,youtube_id,youtube_username,instagram_id,instagram_username
C001101,2293131060,RepKClark,1408040802774787,CongresswomanClark,UCgaI52w7QKI8LtkSeCCmSuw,,,
B001289,2253968388,RepByrne,1374832002773142,RepByrne,UCRUXmqQbrKo0T6xi_GT7TEA,,944262792,repbyrne
J000296,2482022082,USRepDavidJolly,712496765463007,repdavidjolly,UCmZt80RWeJF6F-cBw7zjP0g,,,
G000556,,,,,UCWjNmgE01hGoME_jkj6VpRQ,,,
N000189,2930635215,RepNewhouse,,RepNewhouse,,,,
J000297,2953713339,RepEvanJenkins,,RepEvanJenkins,,,,RepEvanJenkins
R000601,2847221717,RepRatcliffe,,RepRatcliffe,,,1679501092,rep_ratcliffe
L000583,2914163523,RepLoudermilk,,reploudermilk,,,,
C001103,2973870195,RepBuddyCarter,,congressmanbuddycarter,,,,
C001107,2853309155,RepCurbelo,,repcurbelo,,,,
M001193,2962994194,RepTomMacArthur,,CongressmanTomMacArthur,,,,
B001295,2964877294,RepBost,,RepBost,,,,
G000570,236960387,RepFrankGuinta,,repfrankguinta,,,,
A000370,2916086925,RepAdams,,CongresswomanAdams,,,,
C001105,2933760046,RepComstock,,RepBarbaraComstock,,,,
A000373,2964351843,RepBradAshford,,RepBradAshford,,,,
P000611,2932617195,RepPoliquin,,RepPoliquin,,,,
M001194,2696643955,RepMoolenaar,,RepMoolenaar,,,,
S001196,2962813893,RepStefanik,,RepEliseStefanik,,,,
C001106,2953922782,RepRyanCostello,,CongressmanRyanCostello,,,,RepRyanCostello
R000603,834069080,RepDavidRouzer,,1579216395649220,,,,
P000609,2861616083,USRepGaryPalmer,,USRepresentativeGaryPalmer,,,1551536636,usrepgarypalmer
M001197,2964949642,RepMcSally,,RepMcSally,,,,
E000294,2914515430,RepTomEmmer,,reptomemmer,,,1565640999,reptomemmer
R000604,,,,reprussell,,,,
A000374,2962891515,RepAbraham,,CongressmanRalphAbraham,,,,
Y000066,314205957,RepDavidYoung,,RepDavidYoung,,,,
Z000017,2750127259,RepLeeZeldin,,RepLeeZeldin,,,,
G000575,2962681881,RepGwenGraham,,repgwengraham,,,,
K000386,2966765501,RepJohnKatko,,RepJohnKatko,,,,
Z000018,2953494478,RepRyanZinke,,CongressmanRyanZinke,,,,
W000821,2852998461,RepWesterman,,RepWesterman,,,,
H001072,2953974395,RepFrenchHill,,RepFrenchHill,,,,
B001291,2929491549,RepBrianBabin,,RepBrianBabin,,,,
